District,Address,Square_m2,Rent
Obolonsky,"Kyiv, Heroiv Stalingrada, 8",110,49657
Obolonsky,"Kyiv, Novozabarska 2/6",101,30450
Obolonsky,"Kyiv, Heroiv Stalingrada, 10A",120,45000
Svatoshinsky,"Kyiv, Peremohy Ave 131A",115,15000
Svatoshinsky,"Kyiv, Bessarabska square 9/1",119,52000
Svatoshinsky,"Kyiv, Palladina 20",115,43000
Podilsky,"Kyiv, Andriivskyi descent 2",90,49572
Podilsky,"Kyiv, Borisoglibska 15",100,62071
Podilsky,"Kyiv, Frolivska 1",110,40811
Shevchenkivsky,"Kyiv, Uritskogo 35",94,49572
Shevchenkivsky,"Kyiv, Voznesenskyi descent, 15",119,43000
Shevchenkivsky,"Kyiv, Honchara 37A",95,39000
Pechersky,"Kyiv, Mechnikova 2",100,118973
Pechersky,"Kyiv, Staronavodnytska 6b",130,69401
Pechersky,"Kyiv, Konovaltsa 36d",92,57008
Dniprovsky,"Kyiv, Raisy Okipnoi 10",100,54529
Dniprovsky,"Kyiv, Miropilska 25",100,25000
Dniprovsky,"Kyiv, Kharkivske Highway 188",90,28000
Desnansky,"Kyiv, Marshala Zhukova 33a",112,11000
Darnicky,"Kyiv, Dniprovska Embarkment 26",120,60000
Darnicky,"Kyiv, Chavdar 3",110,38500
Darnicky,"Kyiv, Hryhorenka 20",90,24000
Solomensky,"Kyiv, Hetmana 5",90,25000
Solomensky,"Kyiv, Levanevskoho 7",90,23000
Solomensky,"Kyiv, Nizhinska 10",100,25000
Holoseevsky,"Kyiv, Antonovycha 4/6",105,44615
Holoseevsky,"Kyiv, Saksaganskogo 36b",129,45000
Holoseevsky,"Kyiv, Antonovycha 103",120,54492
